Id_Instal,Codi_Carrer,Tipus_Via,Nom_Carrer,Num_Carrer,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,Latitud,Longitud,ETRS89_X,ETRS89_Y,Data_Instalacio,Data_DesInstalacio,Font
786,11200,C,Almogàvers,120,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.397383,2.190215,432306.225,4583188.274,19/12/2015,14/06/2016,OCI
806,273003,C,Quito,14,58,Baró de Viver,09,Sant Andreu,41.446353,2.200934,433252.421,4588616.566,18/02/2016,06/05/2022,TRÀNSIT
826,284804,C,Robador,31,01,el Raval,01,Ciutat Vella,41.379396,2.170909,430673.242,4581206.666,11/03/2016,17/11/2016,OCI
827,21306,C,Arc del Teatre,5,01,el Raval,01,Ciutat Vella,41.378242,2.175112,431023.452,4581075.134,11/03/2016,17/11/2016,OCI
846,162002,Av,Josep Tarradellas,120,08,l'Antiga Esquerra de l'Eixample,02,L'Eixample,41.390615,2.143930,428429.605,4582474.094,21/03/2016,29/03/2016,TRÀNSIT
847,162002,Av,Josep Tarradellas,151,19,les Corts,04,Les Corts,41.391342,2.143644,428406.478,4582554.979,21/03/2016,,TRÀNSIT
926,112208,C,Escudellers,34,02,el Barri Gòtic,01,Ciutat Vella,41.380128,2.176933,431177.722,4581283.046,12/04/2016,02/03/2017,OCI
927,167709,C,Joaquín Costa,33,01,el Raval,01,Ciutat Vella,41.382336,2.165958,430262.387,4581537.016,12/04/2016,28/11/2016,OCI
928,298004,C,Sant Carles,27,03,la Barceloneta,01,Ciutat Vella,41.379559,2.191076,432359.737,4581208.798,12/04/2016,28/11/2016,OCI
966,184708,Ptge,Llavallol,17,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.405397,2.167532,430418.578,4584095.897,18/05/2016,14/11/2017,OCI
1006,167505,Pl,Joanic,7,31,la Vila de Gràcia,06,Gràcia,41.405521,2.162211,429973.940,4584113.950,18/04/2016,01/03/2017,OCI
1026,348500,C,Ulldecona,27,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.350292,2.139862,428045.027,4578000.835,12/05/2016,,TRÀNSIT
1027,348500,C,Ulldecona,77,12,la Marina del Prat Vermell,03,Sants-Montjuïc,41.352796,2.143929,428388.008,4578275.487,12/05/2016,09/06/2022,TRÀNSIT
1046,138405,Pl,Gal·la Placídia,6,31,la Vila de Gràcia,06,Gràcia,41.399699,2.152410,429148.436,4583475.629,12/05/2016,30/05/2017,OCI
1086,46409,Pg,Born,19,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.384925,2.182772,431671.000,4581811.000,24/05/2016,08/06/2017,OCI
1106,146902,Pl,Glòries Catalanes,19,65,el Clot,10,Sant Martí,41.404791,2.187438,432081.778,4584012.853,02/06/2016,25/08/2016,OBRES
1126,348408,C,Tuset,8,26,Galvany,05,Sarrià-Sant Gervasi,41.395450,2.152753,429172.441,4583003.592,12/05/2016,01/03/2017,OCI
1146,365702,Av,Mare de Déu de Montserrat,263,35,el Guinardó,07,Horta-Guinardó,41.424560,2.176158,431159.822,4586216.460,18/04/2016,01/03/2017,TRÀNSIT
1166,305100,Pg,Sant Joan,97,07,la Dreta de l'Eixample,02,L'Eixample,41.398882,2.170110,430627.176,4583370.537,17/06/2016,29/06/2016,TRÀNSIT
1167,305100,Pg,Sant Joan,39,07,la Dreta de l'Eixample,02,L'Eixample,41.395867,2.174102,430957.671,4583032.698,17/06/2016,29/06/2016,TRÀNSIT
1168,335100,Pl,Tetuan,4,07,la Dreta de l'Eixample,02,L'Eixample,41.394316,2.175891,431105.539,4582859.073,17/06/2016,29/06/2016,TRÀNSIT
1169,305100,Pg,Sant Joan,34,05,el Fort Pienc,02,L'Eixample,41.393295,2.177816,431265.454,4582744.133,17/06/2016,29/06/2016,TRÀNSIT
1170,305100,Pg,Sant Joan,15,07,la Dreta de l'Eixample,02,L'Eixample,41.392678,2.178319,431306.843,4582675.321,17/06/2016,29/06/2016,TRÀNSIT
1171,148307,Pg,Gràcia,124,31,la Vila de Gràcia,06,Gràcia,41.397772,2.158115,429623.234,4583256.978,17/06/2016,29/06/2016,TRÀNSIT
1172,148307,Pg,Gràcia,111,31,la Vila de Gràcia,06,Gràcia,41.396968,2.158797,429679.400,4583167.165,17/06/2016,29/06/2016,TRÀNSIT
1173,148307,Pg,Gràcia,51,07,la Dreta de l'Eixample,02,L'Eixample,41.392571,2.164247,430130.284,4582674.660,17/06/2016,29/06/2016,TRÀNSIT
1174,148307,Pg,Gràcia,27,07,la Dreta de l'Eixample,02,L'Eixample,41.390799,2.166440,430311.695,4582476.112,17/06/2016,,TRÀNSIT
1175,148307,Pg,Gràcia,13,07,la Dreta de l'Eixample,02,L'Eixample,41.389653,2.167858,430429.031,4582347.780,17/06/2016,29/06/2016,TRÀNSIT
1186,305100,Pg,Sant Joan,97,07,la Dreta de l'Eixample,02,L'Eixample,41.398882,2.170110,430627.176,4583370.537,30/06/2016,15/03/2017,TRÀNSIT
1187,305100,Pg,Sant Joan,39,07,la Dreta de l'Eixample,02,L'Eixample,41.395867,2.174102,430957.671,4583032.698,30/06/2016,30/09/2021,SUPERILLA
1188,335100,Pl,Tetuan,4,07,la Dreta de l'Eixample,02,L'Eixample,41.394316,2.175891,431105.539,4582859.073,30/06/2016,24/10/2016,TRÀNSIT
1189,305100,Pg,Sant Joan,34,05,el Fort Pienc,02,L'Eixample,41.393295,2.177816,431265.454,4582744.133,30/06/2016,,TRÀNSIT
1190,305100,Pg,Sant Joan,15,07,la Dreta de l'Eixample,02,L'Eixample,41.392678,2.178319,431306.843,4582675.321,30/06/2016,15/03/2017,TRÀNSIT
1191,148307,Pg,Gràcia,124,31,la Vila de Gràcia,06,Gràcia,41.397772,2.158115,429623.234,4583256.978,30/06/2016,13/03/2017,TRÀNSIT
1192,148307,Pg,Gràcia,111,31,la Vila de Gràcia,06,Gràcia,41.396968,2.158797,429679.400,4583167.165,30/06/2016,,TRÀNSIT
1193,148307,Pg,Gràcia,81,07,la Dreta de l'Eixample,02,L'Eixample,41.394328,2.162069,429950.045,4582871.451,30/06/2016,,TRÀNSIT
1194,148307,Pg,Gràcia,51,07,la Dreta de l'Eixample,02,L'Eixample,41.392571,2.164247,430130.284,4582674.660,30/06/2016,29/09/2021,TRÀNSIT
1195,148307,Pg,Gràcia,13,07,la Dreta de l'Eixample,02,L'Eixample,41.389653,2.167858,430429.031,4582347.780,30/06/2016,29/09/2021,TRÀNSIT
1196,305100,Pg,Sant Joan,82,07,la Dreta de l'Eixample,02,L'Eixample,41.397398,2.172381,430815.407,4583204.012,30/06/2016,,TRÀNSIT
1197,305100,Pg,Sant Joan,60,07,la Dreta de l'Eixample,02,L'Eixample,41.396355,2.173764,430929.894,4583087.076,30/06/2016,30/09/2021,SUPERILLA
1226,121708,C,Felipe de Paz,20,20,la Maternitat i Sant Ramon,04,Les Corts,41.379443,2.125801,426901.408,4581248.896,13/07/2016,22/10/2016,SUPERILLA
1227,701278,Pg,Taulat,263,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,41.405017,2.212947,434214.228,4584018.225,13/07/2016,20/09/2016,TRÀNSIT
1228,62700,C,Bosch i Gimpera,28,23,Sarrià,05,Sarrià-Sant Gervasi,41.395461,2.117319,426210.314,4583034.374,13/07/2016,01/03/2017,TRÀNSIT
1248,325107,C,Trelawny,2,03,la Barceloneta,01,Ciutat Vella,41.384941,2.195578,432741.722,4581802.828,28/07/2016,08/11/2016,OCI
1266,198702,Av,Francesc Ferrer i Guàrdia,13,11,el Poble Sec,03,Sants-Montjuïc,41.369498,2.146542,428624.886,4580127.546,28/07/2016,28/11/2016,OCI
1286,209300,Ptge,Valeri Serra,18,08,l'Antiga Esquerra de l'Eixample,02,L'Eixample,41.384986,2.160491,429808.118,4581835.568,17/08/2016,20/12/2017,TRÀNSIT
1287,189202,C,Magalhães,29,11,el Poble Sec,03,Sants-Montjuïc,41.371966,2.164059,430092.511,4580387.283,17/08/2016,31/01/2017,TRÀNSIT
1288,142402,C,Gavà,17,16,la Bordeta,03,Sants-Montjuïc,41.371928,2.141203,428181.076,4580401.723,17/08/2016,31/01/2017,TRÀNSIT
1289,348805,Pl,Revolució de Setembre 1868,3,31,la Vila de Gràcia,06,Gràcia,41.402754,2.158158,429632.212,4583810.119,18/08/2016,05/11/2021,OCI
1290,106103,Pl,Sarrià,9,23,Sarrià,05,Sarrià-Sant Gervasi,41.399835,2.121861,426594.883,4583516.189,18/08/2016,06/02/2017,TRÀNSIT
1291,37350,Av,J. V. Foix,66,23,Sarrià,05,Sarrià-Sant Gervasi,41.396055,2.119916,426428.061,4583098.117,18/08/2016,15/11/2017,TRÀNSIT
1306,111908,Av,Escolapi Càncer,3,54,Torre Baró,08,Nou Barris,41.459870,2.181325,431628.622,4590132.523,23/08/2016,20/09/2016,TRÀNSIT
1326,701278,Pg,Taulat,263,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,41.405017,2.212947,434214.228,4584018.225,13/07/2016,18/06/2018,TRÀNSIT
1346,249304,C,Pere IV,100,68,el Poblenou,10,Sant Martí,41.398428,2.194265,432645.836,4583301.159,20/09/2016,10/11/2016,SUPERILLA
1347,11200,C,Almogàvers,188,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.400734,2.195192,432725.748,4583556.392,20/09/2016,21/03/2017,SUPERILLA
1348,311703,C,Sancho de Ávila,133,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.402437,2.194760,432691.389,4583745.789,20/09/2016,04/10/2022,TRÀNSIT
1349,183603,C,Llacuna,122,68,el Poblenou,10,Sant Martí,41.404116,2.195181,432728.307,4583931.925,20/09/2016,20/12/2016,SUPERILLA
1386,32700,C,Balmes,232,26,Galvany,05,Sarrià-Sant Gervasi,41.398930,2.150900,429021.324,4583391.477,21/10/2016,10/11/2016,TRÀNSIT
1387,32700,C,Balmes,173,26,Galvany,05,Sarrià-Sant Gervasi,41.396109,2.153807,429261.336,4583075.952,21/10/2016,08/06/2022,TRÀNSIT
1388,192502,C,Manso,1,10,Sant Antoni,02,L'Eixample,41.375392,2.158681,429646.454,4580771.979,21/10/2016,,TRÀNSIT
1389,329902,C,Tamarit,89,10,Sant Antoni,02,L'Eixample,41.375415,2.156424,429457.687,4580776.359,21/10/2016,,TRÀNSIT
1566,191204,C,Mallorca,75,09,la Nova Esquerra de l'Eixample,02,L'Eixample,41.384638,2.150265,428952.731,4581805.351,11/11/2016,28/11/2016,OBRES
1586,158901,Pl,Osca,2,18,Sants,03,Sants-Montjuïc,41.376198,2.138527,427962.000,4580878.000,17/11/2016,20/12/2016,OCI
1606,191204,C,Mallorca,75,09,la Nova Esquerra de l'Eixample,02,L'Eixample,41.384638,2.150265,428952.731,4581805.351,28/11/2016,28/06/2017,OBRES
1627,32700,C,Balmes,232,26,Galvany,05,Sarrià-Sant Gervasi,41.398930,2.150900,429021.324,4583391.477,11/11/2016,,TRÀNSIT
1686,270901,C,Pujades,166,68,el Poblenou,10,Sant Martí,41.400560,2.199448,433081.352,4583533.771,19/12/2016,05/10/2022,TRÀNSIT
1726,158901,Pl,Osca,2,18,Sants,03,Sants-Montjuïc,41.376198,2.138527,427962.000,4580878.000,20/12/2016,26/05/2017,OCI
1746,325107,C,Trelawny,2,03,la Barceloneta,01,Ciutat Vella,41.384941,2.195578,432741.722,4581802.828,29/12/2016,08/11/2017,OCI
1866,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1867,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1868,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1869,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1870,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1871,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1872,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1873,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1874,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1875,208001,C,Torrent de l'Olla,218,31,la Vila de Gràcia,06,Gràcia,41.406216,2.152848,429192.067,4584198.701,19/01/2017,26/02/2017,TRÀNSIT
1886,236700,C,Or,10,31,la Vila de Gràcia,06,Gràcia,41.403978,2.156015,429454.426,4583947.753,19/01/2017,,OCI
1887,326904,Pl,Sol,2,31,la Vila de Gràcia,06,Gràcia,41.401519,2.156852,429521.701,4583674.030,19/01/2017,,OCI
1888,183603,C,Llacuna,122,68,el Poblenou,10,Sant Martí,41.404116,2.195181,432728.307,4583931.925,19/01/2017,04/10/2022,TRÀNSIT
1906,226400,C,Las Navas de Tolosa,278,63,Navas,09,Sant Andreu,41.415571,2.186405,432006.728,4585210.429,23/01/2017,,TRÀNSIT
1926,102500,C,Doctor Joaquín Albarrán,5,21,Pedralbes,04,Les Corts,41.389814,2.107345,425370.000,4582416.000,25/01/2017,26/01/2017,TRÀNSIT
1946,102500,C,Doctor Joaquín Albarrán,5,21,Pedralbes,04,Les Corts,41.389814,2.107345,425370.000,4582416.000,26/01/2017,03/03/2017,TRÀNSIT
1947,284804,C,Robador,31,01,el Raval,01,Ciutat Vella,41.379396,2.170909,430673.242,4581206.666,24/01/2017,26/04/2017,OCI
1948,21306,C,Arc del Teatre,5,01,el Raval,01,Ciutat Vella,41.378242,2.175112,431023.452,4581075.134,24/01/2017,14/12/2017,OCI
1967,255602,Pg,Pineda,52,56,Vallbona,08,Nou Barris,41.466363,2.182726,431752.501,4590852.270,31/01/2017,25/05/2017,TRÀNSIT
1968,236801,C,Orpí,7,56,Vallbona,08,Nou Barris,41.462215,2.183020,431772.703,4590391.500,31/01/2017,21/04/2017,TRÀNSIT
1987,167709,C,Joaquín Costa,33,01,el Raval,01,Ciutat Vella,41.382336,2.165958,430262.387,4581537.016,01/02/2017,21/12/2017,OCI
1988,112208,C,Escudellers,48,02,el Barri Gòtic,01,Ciutat Vella,41.380390,2.177537,431228.473,4581311.696,01/02/2017,14/12/2017,OCI
1989,349309,Rda,Universitat,27,07,la Dreta de l'Eixample,02,L'Eixample,41.386795,2.166683,430327.761,4582031.484,01/02/2017,25/05/2017,TRÀNSIT
2006,54906,C,Calatrava,73,24,les Tres Torres,05,Sarrià-Sant Gervasi,41.401930,2.127948,427106.079,4583743.547,06/02/2017,20/06/2017,TRÀNSIT
2026,148409,Ctra,Sant Cugat,95,28,Vallcarca i els Penitents,06,Gràcia,41.422393,2.138327,427996.228,4586006.683,08/02/2017,20/06/2017,TRÀNSIT
2027,320908,Ctra,Sarrià a Vallvidrera,97,23,Sarrià,05,Sarrià-Sant Gervasi,41.408060,2.111839,425766.502,4584437.858,08/02/2017,24/05/2017,TRÀNSIT
2028,157308,Ctra,Horta a Cerdanyola,20,43,Horta,07,Horta-Guinardó,41.441201,2.154997,429409.652,4588080.950,08/02/2017,26/05/2017,TRÀNSIT
2046,344101,Trav,Gràcia,313,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.406299,2.165618,430259.543,4584197.569,27/02/2017,04/06/2018,SUPERILLA
2047,31300,C,Bailèn,214,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.402231,2.163695,430094.489,4583747.566,27/02/2017,06/06/2018,SUPERILLA
2048,305100,Pg,Sant Joan,153,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.402055,2.165841,430273.667,4583726.218,27/02/2017,06/06/2018,SUPERILLA
2049,286504,C,Roger de Flor,274,32,el Camp d'en Grassot i Gràcia Nova,06,Gràcia,41.403048,2.167147,430383.901,4583835.478,27/02/2017,09/03/2017,SUPERILLA
2050,76807,C,Sardenya,390,06,la Sagrada Família,02,L'Eixample,41.406612,2.169174,430557.096,4584229.482,27/02/2017,04/06/2018,SUPERILLA
2051,119003,Pg,Fabra i Puig,409,43,Horta,07,Horta-Guinardó,41.434538,2.163680,430127.870,4587334.206,28/02/2017,04/06/2018,SUPERILLA
2052,107401,C,Eduard Toda,51,43,Horta,07,Horta-Guinardó,41.435841,2.156500,429529.378,4587484.701,28/02/2017,04/06/2018,SUPERILLA
2053,58102,C,Campoamor,37,43,Horta,07,Horta-Guinardó,41.433986,2.156117,429495.371,4587279.036,28/02/2017,06/06/2018,SUPERILLA
2054,351901,Pg,Valldaura,24,43,Horta,07,Horta-Guinardó,41.437482,2.156005,429489.839,4587667.269,28/02/2017,28/02/2017,SUPERILLA
2055,351901,Pg,Valldaura,24,43,Horta,07,Horta-Guinardó,41.437482,2.156005,429489.839,4587667.269,28/02/2017,28/02/2017,SUPERILLA
2066,351901,Pg,Valldaura,24,43,Horta,07,Horta-Guinardó,41.437482,2.156005,429489.839,4587667.269,01/03/2017,04/06/2018,SUPERILLA
