,id_instal,codi_carrer,tipus_via,nom_carrer,num_carrer,codi_barri,nom_barri,codi_districte,nom_districte,latitud,longitud,etrs89_x,etrs89_y,data_instalacio,data_desinstalacio,font,geometry,index_right,tram,descripció,coordenades
696,8926,231207,C,Nou de Sant Francesc,5,2,el Barri Gòtic,1,Ciutat Vella,41.379354,2.176872,431171.819,4581197.19,18/01/2024,,OCI,POINT (2.176872 41.379354),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
697,8927,360200,C,Vidre,3,2,el Barri Gòtic,1,Ciutat Vella,41.379894,2.176012,431100.425,4581257.883,18/01/2024,,OCI,POINT (2.176012 41.379894),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
698,8928,2902,C,Aglà,3,2,el Barri Gòtic,1,Ciutat Vella,41.380176,2.176381,431131.587,4581288.859,18/01/2024,,OCI,POINT (2.176381 41.380176),291,292,Passeig de Colom (Pl. Antonio López a Pl. Portal de la Pau),"2.182102513985287,41.38137656982789,2.177895016062157,41.37616695259703"
699,8946,191204,C,Mallorca,106,9,la Nova Esquerra de l'Eixample,2,L'Eixample,41.385614,2.152253,429120.0,4581912.0,19/01/2024,11/04/2024,PATIS D'ESCOLA,POINT (2.152253 41.385614),448,450,Mallorca (Urgell a Entença),"2.152845465021243,41.38649315565017,2.147167983541354,41.38232098573008"
700,8986,46409,Pg,Born,25,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.385209,2.182998,431690.171,4581842.346,21/02/2024,,OCI,POINT (2.182998 41.385209),201,202,Comerç (Passeig Lluís Companys a Marquès de l'Argentera),"2.181385992954379,41.38991178971306,2.181346275758846,41.38969322198503,2.181419946488563,41.38862404619364,2.182045101584673,41.38686895011053,2.182175867678566,41.38666827390093,2.182435217590493,41.38631790109311,2.182709046713609,41.38604148620381,2.18440401061698,41.38476606086355,2.184954595699347,41.38443208032796"
701,8987,46409,Pg,Born,19,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.384923,2.182773,431671.05,4581810.78,21/02/2024,04/06/2024,OCI,POINT (2.182773 41.384923),201,202,Comerç (Passeig Lluís Companys a Marquès de l'Argentera),"2.181385992954379,41.38991178971306,2.181346275758846,41.38969322198503,2.181419946488563,41.38862404619364,2.182045101584673,41.38686895011053,2.182175867678566,41.38666827390093,2.182435217590493,41.38631790109311,2.182709046713609,41.38604148620381,2.18440401061698,41.38476606086355,2.184954595699347,41.38443208032796"
702,8988,217603,Plta,Montcada,6,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.384407,2.18197,431603.366,4581754.13,21/02/2024,,OCI,POINT (2.18197 41.384407),201,202,Comerç (Passeig Lluís Companys a Marquès de l'Argentera),"2.181385992954379,41.38991178971306,2.181346275758846,41.38969322198503,2.181419946488563,41.38862404619364,2.182045101584673,41.38686895011053,2.182175867678566,41.38666827390093,2.182435217590493,41.38631790109311,2.182709046713609,41.38604148620381,2.18440401061698,41.38476606086355,2.184954595699347,41.38443208032796"
703,8989,276908,C,Rec,44,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.384688,2.183244,431710.226,4581784.37,21/02/2024,,OCI,POINT (2.183244 41.384688),201,202,Comerç (Passeig Lluís Companys a Marquès de l'Argentera),"2.181385992954379,41.38991178971306,2.181346275758846,41.38969322198503,2.181419946488563,41.38862404619364,2.182045101584673,41.38686895011053,2.182175867678566,41.38666827390093,2.182435217590493,41.38631790109311,2.182709046713609,41.38604148620381,2.18440401061698,41.38476606086355,2.184954595699347,41.38443208032796"
704,8990,276908,C,Rec,44,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,41.384688,2.183244,431710.226,4581784.37,21/02/2024,04/06/2024,OCI,POINT (2.183244 41.384688),201,202,Comerç (Passeig Lluís Companys a Marquès de l'Argentera),"2.181385992954379,41.38991178971306,2.181346275758846,41.38969322198503,2.181419946488563,41.38862404619364,2.182045101584673,41.38686895011053,2.182175867678566,41.38666827390093,2.182435217590493,41.38631790109311,2.182709046713609,41.38604148620381,2.18440401061698,41.38476606086355,2.184954595699347,41.38443208032796"
705,9006,243206,C,Pamplona,125,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.398789,2.188428,432158.307,4583345.756,05/03/2024,,OCI,POINT (2.188428 41.398789),281,282,Meridiana (Marina a Pl. de les Glòries),"2.187213946489344,41.39483060852749,2.187206455628712,41.39490763084235,2.187154698864358,41.39499584027632,2.187080448268726,41.39505140029849,2.186999481326355,41.39506821932805,2.18699172614236,41.4023705127798,2.187145848564305,41.40239329839835,2.187303288758047,41.4024551477229,2.187436255553801,41.40252312163847,2.187670224739027,41.40265895872451,2.187754100056758,41.40273323992566,2.187838404772227,41.40280751884722,2.187955761522424,41.40290057450023,2.188074406367913,41.40300605784181,2.188151116107173,41.40313671397053,2.188210852295849,41.40324261955627,2.188253473251454,41.40333615601983,2.188278265945112,41.4034484006782,2.188276779492091,41.40350439804029,2.188275388357404,41.40356034556694,2.188264859148319,41.40364725700035,2.188255828246772,41.40371561052043,2.18824826205374,41.40375930210993"
